entry_time,entry_price,exit_time,exit_price,pnl,return_pct
2025-02-07 15:30:00+00:00,372.1600036621094,2025-02-11 14:30:00+00:00,345.82501220703125,683.7763973114014,0.07066608970737781
2025-02-11 15:30:00+00:00,343.92999267578125,2025-02-13 14:30:00+00:00,354.45705304827004,-327.4213714680248,-0.030709679148953038
2025-02-13 15:30:00+00:00,355.0,2025-02-19 16:30:00+00:00,359.9100036621094,-143.42672570648193,-0.013931687781105477
2025-02-20 15:30:00+00:00,352.05999755859375,2025-02-20 18:30:00+00:00,353.42999267578125,38.706897912597654,0.0037911737400772574
2025-02-24 16:30:00+00:00,333.8891906738281,2025-02-25 14:30:00+00:00,312.63073294503346,636.7839519784118,0.06357238366949489
2025-02-25 15:30:00+00:00,306.44000244140625,2025-02-28 14:30:00+00:00,277.08640834263394,1026.3546222381588,0.0956938309117791
2025-02-28 15:30:00+00:00,292.3949890136719,2025-03-04 14:30:00+00:00,263.02579171316967,1173.6570504586346,0.10034859475684758
2025-03-04 15:30:00+00:00,265.57000732421875,2025-03-04 19:30:00+00:00,283.0542210170201,-858.0706003067021,-0.0659398441889543
2025-03-05 15:30:00+00:00,270.25,2025-03-10 16:30:00+00:00,231.39593505859375,1747.3042190093995,0.14367801163609
2025-03-10 17:30:00+00:00,227.1598968505859,2025-03-12 13:30:00+00:00,247.27000427246097,-1228.1635639328038,-0.08863284935445365
2025-03-18 14:30:00+00:00,225.0500030517578,2025-03-19 15:30:00+00:00,235.63672746930806,-594.1464902282726,-0.04714400626618179
2025-03-19 19:30:00+00:00,235.3249969482422,2025-03-21 16:30:00+00:00,245.03018842424666,-496.18967099892797,-0.041343713423750574
2025-03-21 17:30:00+00:00,245.3699951171875,2025-03-21 19:30:00+00:00,245.0,16.23740101928711,0.0014079823299773856
2025-03-24 14:30:00+00:00,274.2025146484375,2025-03-28 14:30:00+00:00,262.9801112583705,-472.46902589721714,-0.0410253805869917
2025-04-01 14:30:00+00:00,265.8900146484375,2025-04-01 15:30:00+00:00,274.19000244140625,-349.73365534057615,-0.031317429519996345
2025-04-02 14:30:00+00:00,262.9949951171875,2025-04-04 13:30:00+00:00,250.49004690987724,-513.7555208358763,-0.047645859016549386
2025-04-04 15:30:00+00:00,243.82000732421875,2025-04-09 17:30:00+00:00,246.3999938964844,-109.38889803772092,-0.010682050258752534
2025-04-10 16:30:00+00:00,241.27999877929688,2025-04-11 13:30:00+00:00,251.83999633789065,-444.55544945068476,-0.04386875668062155
2025-04-16 19:30:00+00:00,234.40499877929688,2025-04-17 13:30:00+00:00,243.6742728097098,-381.0202977536876,-0.0396458183161116
2025-04-17 14:30:00+00:00,238.8800048828125,2025-04-23 13:30:00+00:00,254.86000061035156,-624.1826263847352,-0.06699883791305651
2025-04-24 14:30:00+00:00,256.2950134277344,2025-04-25 14:30:00+00:00,279.49781581333707,787.9844333007818,0.09042709194447676
2025-04-25 15:30:00+00:00,279.5451965332031,2025-05-07 13:30:00+00:00,276.81500244140625,-93.7724114593506,-0.009866068657051787
2025-05-08 14:30:00+00:00,281.9200134277344,2025-05-08 15:30:00+00:00,289.07950701032365,-237.20543743416894,-0.02549674807125288
2025-05-09 14:30:00+00:00,302.2049865722656,2025-05-13 13:30:00+00:00,324.1724766322545,658.0851356048587,0.07258705898813185
2025-05-13 14:30:00+00:00,322.4700927734375,2025-05-14 13:30:00+00:00,343.8628888811384,640.7843837585457,0.0662370865927869
2025-05-14 14:30:00+00:00,340.3900146484375,2025-05-27 16:30:00+00:00,361.23392159598217,624.2647725219734,0.06113230369646494
2025-05-28 14:30:00+00:00,361.7008972167969,2025-05-30 16:30:00+00:00,351.6256321498326,-303.3279418029783,-0.027953846593231753
2025-05-30 17:30:00+00:00,348.375,2025-06-02 13:30:00+00:00,338.11366489955356,-319.1654455444341,-0.02955338222803428
2025-06-03 14:30:00+00:00,346.0299987792969,2025-06-03 17:30:00+00:00,354.49920654296875,-255.12702671813966,-0.024576580799175428
2025-06-04 14:30:00+00:00,332.2099914550781,2025-06-05 16:30:00+00:00,310.578848702567,647.9700993150981,0.06501611590879529
2025-06-05 17:30:00+00:00,302.3599853515625,2025-06-06 16:30:00+00:00,300.43359375,68.26506921386719,0.006271504215091755
2025-06-12 14:30:00+00:00,326.5299987792969,2025-06-13 13:30:00+00:00,314.0,-414.54683421478273,-0.03847127469512099
2025-06-13 14:30:00+00:00,314.4800109863281,2025-06-13 15:30:00+00:00,318.8999938964844,144.8143590270996,0.013954190271581051
2025-06-13 17:30:00+00:00,332.1993103027344,2025-06-17 13:30:00+00:00,320.94398716517856,-361.2153696777349,-0.03397954165570792
2025-06-17 14:30:00+00:00,322.8999938964844,2025-06-17 19:30:00+00:00,317.3399963378906,-178.944305859375,-0.017318085053597637
2025-06-23 14:30:00+00:00,353.0331115722656,2025-06-25 13:30:00+00:00,339.8014351981027,-371.45690684204055,-0.03757811283598495
2025-06-26 14:30:00+00:00,325.919189453125,2025-07-01 13:30:00+00:00,298.4200134277344,824.0387719573974,0.08427843451420071
2025-07-01 14:30:00+00:00,303.1899108886719,2025-07-02 13:30:00+00:00,312.90906197684154,-341.24846128845303,-0.03215791715573621
2025-07-02 14:30:00+00:00,311.9100036621094,2025-07-02 19:30:00+00:00,315.29998779296875,-112.90437280426025,-0.010969012183842835
2025-07-07 14:30:00+00:00,293.2200012207031,2025-07-10 13:30:00+00:00,305.49271501813615,-418.29008073032895,-0.04195706084860463
2025-07-10 14:30:00+00:00,304.3500061035156,2025-07-10 19:30:00+00:00,309.19488525390625,-156.01780463867186,-0.01601957055095374
2025-07-14 14:30:00+00:00,314.2200012207031,2025-07-18 13:30:00+00:00,329.13431222098217,446.46429853820877,0.0473621769040539
2025-07-18 14:30:00+00:00,327.0799865722656,2025-07-24 13:30:00+00:00,310.06500244140625,-511.40524140930177,-0.05211826488975257
2025-07-24 16:30:00+00:00,301.25,2025-07-25 13:30:00+00:00,312.17286900111606,-339.55974448154944,-0.036360299235074216
2025-07-25 14:30:00+00:00,313.67999267578125,2025-07-25 15:30:00+00:00,318.43170166015625,-138.71612250366212,-0.015249026653847945
2025-07-29 14:30:00+00:00,319.32000732421875,2025-07-30 17:30:00+00:00,317.8699951171875,-41.492407800292966,-0.004640710488424616
2025-07-30 19:30:00+00:00,315.6099853515625,2025-08-01 13:30:00+00:00,301.2782461983817,400.42505276489305,0.045311921058750294
2025-08-01 14:30:00+00:00,304.57000732421875,2025-08-06 13:30:00+00:00,313.47266060965404,-268.0066625649596,-0.02933169781659463
2025-08-06 14:30:00+00:00,314.8900146484375,2025-08-06 15:30:00+00:00,318.489990234375,-105.31769299926758,-0.011533057312840577
2025-08-07 14:30:00+00:00,319.2749938964844,2025-08-08 13:30:00+00:00,331.6173357282366,344.6743220275872,0.038555469268169704
2025-08-08 14:30:00+00:00,331.80999755859375,2025-08-11 15:30:00+00:00,346.253165108817,403.45940297851587,0.04342625146352126
2025-08-11 16:30:00+00:00,346.4100036621094,2025-08-12 13:30:00+00:00,337.33973475864957,-254.92477893066362,-0.026282313715343522
2025-08-12 14:30:00+00:00,334.95928955078125,2025-08-14 16:30:00+00:00,331.45001220703125,-99.19273864746094,-0.010576204092111975
2025-08-20 14:30:00+00:00,317.3599853515625,2025-08-22 13:30:00+00:00,325.41537039620533,-234.5381905604764,-0.02548375405132153
2025-08-22 14:30:00+00:00,334.760009765625,2025-08-22 15:30:00+00:00,335.5450134277344,-22.10001065826416,-0.0024450916758011697
2025-08-25 14:30:00+00:00,340.7799987792969,2025-08-29 15:30:00+00:00,338.90008544921875,-49.76133069152832,-0.00561622554476579
2025-09-02 14:30:00+00:00,332.7749938964844,2025-09-03 14:30:00+00:00,340.0417000906808,-197.10936978018668,-0.021937787282077854
2025-09-03 15:30:00+00:00,340.1700134277344,2025-09-03 16:30:00+00:00,341.739990234375,-41.70587997741699,-0.004715501788826855
2025-09-05 15:30:00+00:00,348.57000732421875,2025-09-11 17:30:00+00:00,365.3784877232143,419.3195743560789,0.04811883587747167
2025-09-11 18:30:00+00:00,365.2200012207031,2025-09-12 13:30:00+00:00,383.40019880022317,453.56916423797486,0.049676267753351475
2025-09-12 14:30:00+00:00,391.7999877929687,2025-09-15 13:30:00+00:00,423.2000122070313,752.6225859375028,0.08003898772613849
2025-09-15 14:30:00+00:00,416.5499877929687,2025-09-15 19:30:00+00:00,407.7099914550781,-222.03023342132425,-0.02132087287748777
2025-09-17 14:30:00+00:00,412.6600036621094,2025-09-22 13:30:00+00:00,436.62440272739957,574.1264362792973,0.05797008344079368
2025-09-22 14:30:00+00:00,444.3499145507813,2025-09-22 16:30:00+00:00,432.50777326311385,-285.2636201293957,-0.02674915372510954
2025-09-22 17:30:00+00:00,432.989990234375,2025-09-23 18:30:00+00:00,425.5700073242187,-179.10986184082168,-0.017235758512557278
2025-09-29 14:30:00+00:00,443.8699951171875,2025-10-02 13:30:00+00:00,470.5400085449219,612.3587373336792,0.05998218672231295
2025-10-02 14:30:00+00:00,454.74700927734375,2025-10-02 16:30:00+00:00,447.37200927734375,-178.08254282226562,-0.016316997802183056
2025-10-03 18:30:00+00:00,424.260009765625,2025-10-06 13:30:00+00:00,440.9100036621094,-417.33130992889403,-0.03934674966508775
2025-10-07 14:30:00+00:00,447.4299926757813,2025-10-07 18:30:00+00:00,434.53979056222096,-297.48891386261175,-0.02890798742697335
2025-10-07 19:30:00+00:00,434.6099853515625,2025-10-08 13:30:00+00:00,437.7579956054687,71.40101266174186,0.0071429372529192535
2025-10-09 14:30:00+00:00,430.0299987792969,2025-10-13 18:30:00+00:00,435.9299926757813,-136.69571360931528,-0.01382064486879541
2025-10-16 14:30:00+00:00,435.8900146484375,2025-10-16 17:30:00+00:00,424.369620186942,-265.9583711944578,-0.026528268725227993
2025-10-20 14:30:00+00:00,445.4100036621094,2025-10-22 16:30:00+00:00,431.34950038364957,-310.29550758056604,-0.031665973232971496
2025-10-22 19:30:00+00:00,437.7999877929687,2025-10-23 13:30:00+00:00,420.1000061035156,-372.60041047210575,-0.040527357660727764
2025-10-23 14:30:00+00:00,424.4299926757813,2025-10-23 15:30:00+00:00,436.5573076520647,-255.57765116729567,-0.02867460959715114
2025-10-23 16:30:00+00:00,436.4010925292969,2025-10-23 17:30:00+00:00,446.135009765625,-195.56088082885742,-0.022406094322017487
2025-10-27 14:30:00+00:00,449.1839904785156,2025-10-30 15:30:00+00:00,442.5873107910156,-126.18409679870605,-0.014785184675634866
2025-10-31 14:30:00+00:00,455.0499877929687,2025-10-31 15:30:00+00:00,456.2799987792969,-22.960394741822313,-0.0028031590371938226
2025-11-03 15:30:00+00:00,469.0700073242187,2025-11-04 14:30:00+00:00,454.3699951171875,-265.43131572875876,-0.031437064781165557
2025-11-04 15:30:00+00:00,458.125,2025-11-04 17:30:00+00:00,450.7999877929687,-132.66825221557718,-0.016088313138163075
2025-11-05 19:30:00+00:00,462.0,2025-11-05 20:30:00+00:00,461.6200866699219,5.6734495376586915,0.0007223643414385743
2025-11-06 19:30:00+00:00,451.0899963378906,2025-11-10 16:30:00+00:00,446.8500061035156,75.51167821655274,0.009299903053293567
2025-11-13 15:30:00+00:00,410.3900146484375,2025-11-14 14:30:00+00:00,386.239990234375,458.09366536254885,0.05874946283591342
2025-11-14 15:30:00+00:00,400.0098876953125,2025-11-17 14:30:00+00:00,414.2749285016741,-300.4208559906001,-0.03576350357136204
2025-11-17 15:30:00+00:00,415.6600036621094,2025-11-17 16:30:00+00:00,418.7300109863281,-62.234536499023434,-0.007486231048298481
2025-11-18 15:30:00+00:00,396.7113037109375,2025-11-20 14:30:00+00:00,414.6300048828125,-359.18536474609374,-0.045270371853055734
2025-11-20 18:30:00+00:00,405.19000244140625,2025-11-24 15:30:00+00:00,414.6650085449219,-180.8039782272339,-0.023485275541666392
2025-11-25 15:30:00+00:00,408.489990234375,2025-12-03 14:30:00+00:00,439.8817923409598,564.2889033142087,0.07674455743571357
2025-12-03 15:30:00+00:00,441.260009765625,2025-12-08 19:30:00+00:00,436.4700012207031,-87.01011081848145,-0.010954754427075079
2025-12-12 15:30:00+00:00,450.1600036621094,2025-12-15 14:30:00+00:00,471.1515415736607,377.0185020172121,0.046528950070853496
2025-12-15 15:30:00+00:00,472.1400146484375,2025-12-17 19:30:00+00:00,467.2200012207031,-89.40566571350098,-0.010520145029915181
2025-12-18 16:30:00+00:00,488.1700134277344,2025-12-26 16:30:00+00:00,478.4800109863281,-165.5516940246582,-0.019948654515356753
2025-12-29 15:30:00+00:00,466.2300109863281,2026-01-02 14:30:00+00:00,445.58550589425215,350.1815433759431,0.04418187124559855
2026-01-02 15:30:00+00:00,445.0799865722656,2026-01-05 14:30:00+00:00,452.2385428292411,-136.8650214854657,-0.016184556485951945
2026-01-05 15:30:00+00:00,455.2900085449219,2026-01-05 16:30:00+00:00,454.0499877929687,21.501967538453172,0.002623720551114277
2026-01-06 16:30:00+00:00,431.8599853515625,2026-01-09 14:30:00+00:00,443.3001229422433,-218.1940163258147,-0.026591710243186472
2026-01-09 15:30:00+00:00,443.6499938964844,2026-01-09 18:30:00+00:00,447.1799926757813,-64.34172501525981,-0.008057117835686375
2026-01-13 15:30:00+00:00,447.0899963378906,2026-01-14 14:30:00+00:00,438.974844796317,-146.87018610534653,-0.018250139458418545
2026-01-14 15:30:00+00:00,440.0549926757813,2026-01-14 16:30:00+00:00,438.3500061035156,-31.48032279968364,-0.00397429151200018
2026-01-15 15:30:00+00:00,443.3399963378906,2026-01-20 14:30:00+00:00,427.0145263671874,293.0751404022237,0.03672565610831724
2026-01-20 15:30:00+00:00,426.94000244140625,2026-01-21 19:30:00+00:00,434.59139142717635,-146.194845553807,-0.018022357969418746
2026-01-23 15:30:00+00:00,446.114013671875,2026-01-26 19:30:00+00:00,436.0992954799107,-181.05891943359362,-0.02254766393601866
2026-01-28 15:30:00+00:00,434.6700134277344,2026-01-29 14:30:00+00:00,421.9935389927455,227.4055426326208,0.0290649018038789
2026-01-29 15:30:00+00:00,422.260009765625,2026-01-30 14:30:00+00:00,431.3461565290179,-173.44771436244483,-0.021618971393418403
2026-01-30 15:30:00+00:00,433.5549926757813,2026-01-30 16:30:00+00:00,438.4200134277344,-88.3551510406484,-0.01132179212598518
