Date,Open,High,Low,Close,Volume
2021-02-01 00:00:00+00:00,1.0806000232696533,1.0826499462127686,1.080299973487854,1.080590009689331,1000.0
2021-02-02 00:00:00+00:00,1.0818500518798828,1.0831899642944336,1.079800009727478,1.0818500518798828,3588.0344785441634
2021-02-03 00:00:00+00:00,1.080739974975586,1.0817999839782715,1.079509973526001,1.080739974975586,1589.5064131970378
2021-02-04 00:00:00+00:00,1.0818099975585938,1.082200050354004,1.0808000564575195,1.0816999673843384,1000.0
2021-02-05 00:00:00+00:00,1.0819000005722046,1.0833100080490112,1.0806000232696533,1.0817699432373047,1000.0
2021-02-08 00:00:00+00:00,1.0831899642944336,1.0844899415969849,1.0819000005722046,1.0831799507141113,1000.0
2021-02-09 00:00:00+00:00,1.0830600261688232,1.0832600593566895,1.0804200172424316,1.0830800533294678,1142.6971761781435
2021-02-10 00:00:00+00:00,1.0814499855041504,1.0817999839782715,1.0785000324249268,1.0814000368118286,2757.484537177434
2021-02-11 00:00:00+00:00,1.0788500308990479,1.0806299448013306,1.0784000158309937,1.0788999795913696,2623.39231971136
2021-02-12 00:00:00+00:00,1.0797200202941895,1.0808000564575195,1.0784000158309937,1.0797699689865112,2550.453030354649
2021-02-15 00:00:00+00:00,1.080970048904419,1.0819599628448486,1.079200029373169,1.0809799432754517,2694.4742958933184
2021-02-16 00:00:00+00:00,1.0796500444412231,1.0803200006484985,1.0785000324249268,1.0796400308609009,1852.4530879373997
2021-02-17 00:00:00+00:00,1.0801600217819214,1.0820800065994263,1.079300045967102,1.0802199840545654,1732.1505513363968
2021-02-18 00:00:00+00:00,1.0823099613189697,1.0833499431610107,1.0816999673843384,1.0821000337600708,2191.551662471823
2021-02-19 00:00:00+00:00,1.0833200216293335,1.0859700441360474,1.0830999612808228,1.0832699537277222,3368.377691702884
2021-02-22 00:00:00+00:00,1.0872700214385986,1.0914700031280518,1.0868799686431885,1.0872600078582764,6505.017756371762
2021-02-23 00:00:00+00:00,1.0896600484848022,1.0962599515914917,1.0891000032424927,1.0896999835968018,10247.533561614491
2021-02-24 00:00:00+00:00,1.0999300479888916,1.1055599451065063,1.0996999740600586,1.0997999906539917,23258.419307170574
2021-02-25 00:00:00+00:00,1.1035000085830688,1.1095499992370605,1.1023000478744507,1.1034200191497803,21943.527372008626
2021-02-26 00:00:00+00:00,1.1010500192642212,1.1016499996185303,1.0956599712371826,1.1011199951171875,28847.882834884196
2021-03-01 00:00:00+00:00,1.0969200134277344,1.1021100282669067,1.0961999893188477,1.0969300270080566,32103.62926730219
2021-03-02 00:00:00+00:00,1.1023000478744507,1.105389952659607,1.100100040435791,1.1023199558258057,29575.872239240314
2021-03-03 00:00:00+00:00,1.1057000160217285,1.1085000038146973,1.105299949645996,1.1059099435806274,39210.61938453943
2021-03-04 00:00:00+00:00,1.1084699630737305,1.1150000095367432,1.107300043106079,1.108299970626831,47646.24254879359
2021-03-05 00:00:00+00:00,1.1121100187301636,1.1122100353240967,1.1054999828338623,1.1120200157165527,45191.31900668402
2021-03-08 00:00:00+00:00,1.109089970588684,1.1101000308990479,1.1074999570846558,1.1092300415039062,48686.85073853695
2021-03-09 00:00:00+00:00,1.1090999841690063,1.1117500066757202,1.104099988937378,1.1093300580978394,49271.25980261753
