Datetime,Open,High,Low,Close,Volume
2025-11-18 00:00:00-05:00,4010.10009765625,4014.0,4007.699951171875,4011.800048828125,3246.0
2025-11-18 00:15:00-05:00,4012.10009765625,4021.699951171875,4010.199951171875,4016.199951171875,1504.0
2025-11-18 00:30:00-05:00,4016.10009765625,4024.5,4015.60009765625,4023.39990234375,1548.0
2025-11-18 00:45:00-05:00,4023.60009765625,4024.800048828125,4015.300048828125,4018.699951171875,1664.0
2025-11-18 01:00:00-05:00,4018.60009765625,4020.300048828125,4011.60009765625,4012.0,1202.0
2025-11-18 01:15:00-05:00,4012.10009765625,4015.199951171875,4007.60009765625,4013.800048828125,1514.0
2025-11-18 01:30:00-05:00,4013.199951171875,4014.89990234375,4007.10009765625,4010.800048828125,1694.0
2025-11-18 01:45:00-05:00,4010.800048828125,4015.10009765625,4008.10009765625,4008.300048828125,2161.0
2025-11-18 02:00:00-05:00,4008.39990234375,4008.89990234375,4001.0,4008.0,3102.0
2025-11-18 02:15:00-05:00,4008.10009765625,4010.60009765625,4001.0,4001.89990234375,2274.0
2025-11-18 02:30:00-05:00,4001.5,4015.0,3997.39990234375,4011.300048828125,7333.0
2025-11-18 02:45:00-05:00,4011.5,4017.10009765625,4009.5,4013.39990234375,2695.0
2025-11-18 03:00:00-05:00,4013.699951171875,4026.800048828125,4010.199951171875,4025.0,3050.0
2025-11-18 03:15:00-05:00,4024.800048828125,4026.199951171875,4021.0,4021.800048828125,1480.0
2025-11-18 03:30:00-05:00,4021.800048828125,4042.5,4021.300048828125,4036.39990234375,5315.0
2025-11-18 03:45:00-05:00,4036.89990234375,4041.0,4033.0,4036.800048828125,2197.0
2025-11-18 04:00:00-05:00,4036.10009765625,4038.699951171875,4029.60009765625,4032.800048828125,1590.0
2025-11-18 04:15:00-05:00,4033.0,4039.800048828125,4033.0,4034.5,1317.0
2025-11-18 04:30:00-05:00,4034.199951171875,4037.199951171875,4029.60009765625,4037.199951171875,1890.0
2025-11-18 04:45:00-05:00,4037.199951171875,4047.0,4035.5,4039.699951171875,2087.0
2025-11-18 05:00:00-05:00,4039.699951171875,4044.60009765625,4037.0,4040.300048828125,1934.0
2025-11-18 05:15:00-05:00,4040.199951171875,4042.60009765625,4037.800048828125,4037.89990234375,1416.0
2025-11-18 05:30:00-05:00,4037.800048828125,4043.199951171875,4036.800048828125,4042.800048828125,1552.0
2025-11-18 05:45:00-05:00,4042.89990234375,4050.199951171875,4041.199951171875,4043.60009765625,2625.0
2025-11-18 06:00:00-05:00,4043.5,4048.199951171875,4041.89990234375,4044.89990234375,964.0
2025-11-18 06:15:00-05:00,4045.10009765625,4048.39990234375,4043.800048828125,4047.89990234375,1083.0
2025-11-18 06:30:00-05:00,4048.0,4049.89990234375,4042.89990234375,4044.5,1296.0
2025-11-18 06:45:00-05:00,4044.5,4044.699951171875,4036.10009765625,4039.0,1570.0
2025-11-18 07:00:00-05:00,4039.0,4044.699951171875,4037.39990234375,4039.199951171875,1703.0
2025-11-18 07:15:00-05:00,4039.5,4043.0,4031.5,4032.39990234375,1654.0
2025-11-18 07:30:00-05:00,4032.39990234375,4039.800048828125,4031.5,4032.89990234375,1501.0
2025-11-18 07:45:00-05:00,4032.800048828125,4034.699951171875,4028.10009765625,4031.699951171875,1577.0
2025-11-18 08:00:00-05:00,4031.89990234375,4046.60009765625,4030.39990234375,4043.0,3417.0
2025-11-18 08:15:00-05:00,4043.0,4053.5,4040.10009765625,4048.800048828125,4394.0
2025-11-18 08:30:00-05:00,4048.5,4068.199951171875,4047.60009765625,4063.0,6712.0
2025-11-18 08:45:00-05:00,4063.199951171875,4070.800048828125,4061.5,4065.300048828125,4967.0
2025-11-18 09:00:00-05:00,4065.699951171875,4075.89990234375,4063.699951171875,4073.699951171875,6348.0
2025-11-18 09:15:00-05:00,4074.199951171875,4080.800048828125,4073.300048828125,4074.89990234375,4553.0
2025-11-18 09:30:00-05:00,4075.199951171875,4082.300048828125,4069.800048828125,4073.39990234375,6477.0
2025-11-18 09:45:00-05:00,4073.5,4077.89990234375,4057.89990234375,4065.0,8537.0
2025-11-18 10:00:00-05:00,4064.89990234375,4068.10009765625,4053.0,4059.10009765625,7751.0
2025-11-18 10:15:00-05:00,4059.39990234375,4067.300048828125,4054.0,4064.89990234375,5225.0
2025-11-18 10:30:00-05:00,4064.800048828125,4072.39990234375,4058.199951171875,4060.39990234375,4607.0
2025-11-18 10:45:00-05:00,4060.0,4061.5,4048.699951171875,4053.199951171875,4026.0
2025-11-18 11:00:00-05:00,4053.39990234375,4054.89990234375,4040.10009765625,4054.0,7821.0
2025-11-18 11:15:00-05:00,4053.89990234375,4066.39990234375,4051.60009765625,4065.199951171875,5116.0
2025-11-18 11:30:00-05:00,4065.199951171875,4067.199951171875,4057.699951171875,4063.199951171875,3522.0
2025-11-18 11:45:00-05:00,4063.199951171875,4069.800048828125,4061.199951171875,4067.39990234375,2907.0
2025-11-18 12:00:00-05:00,4067.199951171875,4071.10009765625,4064.199951171875,4066.5,1807.0
2025-11-18 12:15:00-05:00,4067.0,4068.699951171875,4059.300048828125,4061.699951171875,2153.0
2025-11-18 12:30:00-05:00,4061.699951171875,4076.39990234375,4060.60009765625,4073.39990234375,3444.0
2025-11-18 12:45:00-05:00,4073.60009765625,4074.89990234375,4070.39990234375,4072.10009765625,1577.0
2025-11-18 13:00:00-05:00,4072.0,4075.300048828125,4068.199951171875,4068.800048828125,1698.0
2025-11-18 13:15:00-05:00,4068.699951171875,4070.89990234375,4063.5,4066.199951171875,3048.0
2025-11-18 13:30:00-05:00,4066.300048828125,4073.5,4064.0,4071.300048828125,1703.0
2025-11-18 13:45:00-05:00,4071.5,4075.199951171875,4069.60009765625,4072.300048828125,1309.0
2025-11-18 14:00:00-05:00,4073.5,4080.699951171875,4073.199951171875,4080.5,1563.0
2025-11-18 14:15:00-05:00,4080.5,4081.60009765625,4075.699951171875,4076.10009765625,1525.0
2025-11-18 14:30:00-05:00,4076.199951171875,4082.300048828125,4074.0,4077.89990234375,2057.0
2025-11-18 14:45:00-05:00,4078.5,4083.300048828125,4077.5,4082.300048828125,1455.0
2025-11-18 15:00:00-05:00,4082.199951171875,4083.699951171875,4073.800048828125,4074.300048828125,1410.0
2025-11-18 15:15:00-05:00,4074.39990234375,4077.199951171875,4069.699951171875,4072.800048828125,1109.0
2025-11-18 15:30:00-05:00,4072.89990234375,4074.39990234375,4068.60009765625,4069.0,912.0
2025-11-18 15:45:00-05:00,4069.10009765625,4072.0,4067.699951171875,4069.800048828125,1153.0
2025-11-18 16:00:00-05:00,4069.699951171875,4072.800048828125,4069.5,4070.5,647.0
2025-11-18 16:15:00-05:00,4070.300048828125,4070.300048828125,4064.89990234375,4065.5,413.0
2025-11-18 16:30:00-05:00,4066.199951171875,4068.5,4065.10009765625,4068.0,231.0
2025-11-18 16:45:00-05:00,4067.10009765625,4068.300048828125,4065.800048828125,4067.39990234375,314.0
2025-11-18 18:00:00-05:00,4067.800048828125,4073.0,4065.300048828125,4070.199951171875,422.0
2025-11-18 18:15:00-05:00,4070.89990234375,4072.89990234375,4069.89990234375,4070.60009765625,260.0
2025-11-18 18:30:00-05:00,4070.10009765625,4073.39990234375,4067.0,4072.89990234375,761.0
2025-11-18 18:45:00-05:00,4073.10009765625,4077.60009765625,4069.199951171875,4076.5,859.0
2025-11-18 19:00:00-05:00,4076.10009765625,4077.199951171875,4070.699951171875,4073.199951171875,880.0
2025-11-18 19:15:00-05:00,4072.5,4078.199951171875,4070.199951171875,4074.300048828125,745.0
2025-11-18 19:30:00-05:00,4074.10009765625,4077.0,4073.60009765625,4075.39990234375,685.0
2025-11-18 19:45:00-05:00,4074.89990234375,4075.199951171875,4067.0,4069.0,1096.0
2025-11-18 20:00:00-05:00,4068.89990234375,4070.0,4061.10009765625,4064.699951171875,1860.0
2025-11-18 20:15:00-05:00,4064.89990234375,4070.10009765625,4060.89990234375,4068.0,1205.0
2025-11-18 20:30:00-05:00,4067.89990234375,4070.699951171875,4061.300048828125,4065.800048828125,1002.0
2025-11-18 20:45:00-05:00,4065.699951171875,4065.699951171875,4056.60009765625,4059.60009765625,1107.0
2025-11-18 21:00:00-05:00,4059.800048828125,4064.60009765625,4056.10009765625,4060.39990234375,1577.0
2025-11-18 21:15:00-05:00,4060.699951171875,4066.0,4060.199951171875,4064.800048828125,718.0
2025-11-18 21:30:00-05:00,4065.10009765625,4079.60009765625,4064.89990234375,4079.300048828125,1989.0
2025-11-18 21:45:00-05:00,4079.199951171875,4081.300048828125,4075.300048828125,4075.699951171875,1541.0
2025-11-18 22:00:00-05:00,4075.699951171875,4079.0,4072.199951171875,4073.699951171875,1604.0
2025-11-18 22:15:00-05:00,4074.10009765625,4075.5,4069.5,4071.800048828125,1208.0
2025-11-18 22:30:00-05:00,4072.0,4074.39990234375,4070.39990234375,4073.199951171875,768.0
2025-11-18 22:45:00-05:00,4073.60009765625,4076.199951171875,4065.89990234375,4066.800048828125,1075.0
2025-11-18 23:00:00-05:00,4066.699951171875,4071.199951171875,4064.10009765625,4068.800048828125,782.0
2025-11-18 23:15:00-05:00,4068.199951171875,4076.199951171875,4068.10009765625,4073.89990234375,863.0
2025-11-18 23:30:00-05:00,4074.0,4076.800048828125,4072.10009765625,4074.300048828125,705.0
2025-11-18 23:45:00-05:00,4074.5,4076.699951171875,4073.300048828125,4075.300048828125,468.0
2025-11-19 00:00:00-05:00,4075.199951171875,4079.60009765625,4073.89990234375,4079.199951171875,859.0
2025-11-19 00:15:00-05:00,4079.199951171875,4092.89990234375,4079.0,4089.39990234375,3734.0
2025-11-19 00:30:00-05:00,4089.39990234375,4098.39990234375,4088.300048828125,4093.60009765625,3323.0
2025-11-19 00:45:00-05:00,4093.699951171875,4096.7998046875,4091.10009765625,4096.60009765625,1676.0
2025-11-19 01:00:00-05:00,4096.5,4100.0,4093.10009765625,4097.39990234375,1743.0
2025-11-19 01:15:00-05:00,4097.39990234375,4097.60009765625,4090.0,4092.699951171875,1630.0
2025-11-19 01:30:00-05:00,4093.0,4096.39990234375,4090.300048828125,4094.89990234375,1339.0
2025-11-19 01:45:00-05:00,4095.0,4096.2998046875,4090.5,4091.699951171875,1546.0
2025-11-19 02:00:00-05:00,4091.39990234375,4093.5,4085.10009765625,4087.0,2075.0
2025-11-19 02:15:00-05:00,4087.60009765625,4091.199951171875,4085.199951171875,4088.89990234375,966.0
2025-11-19 02:30:00-05:00,4089.0,4096.7001953125,4088.60009765625,4095.39990234375,1429.0
2025-11-19 02:45:00-05:00,4095.39990234375,4097.7001953125,4086.39990234375,4087.300048828125,1535.0
2025-11-19 03:00:00-05:00,4086.800048828125,4087.199951171875,4078.199951171875,4082.39990234375,2565.0
2025-11-19 03:15:00-05:00,4082.89990234375,4089.60009765625,4081.0,4088.800048828125,1630.0
2025-11-19 03:30:00-05:00,4088.89990234375,4089.10009765625,4080.60009765625,4081.89990234375,1591.0
2025-11-19 03:45:00-05:00,4081.800048828125,4086.10009765625,4080.699951171875,4083.60009765625,959.0
2025-11-19 04:00:00-05:00,4083.800048828125,4091.300048828125,4081.10009765625,4090.39990234375,1660.0
2025-11-19 04:15:00-05:00,4089.89990234375,4092.5,4086.10009765625,4091.699951171875,1605.0
2025-11-19 04:30:00-05:00,4092.0,4099.5,4088.300048828125,4099.10009765625,1728.0
2025-11-19 04:45:00-05:00,4099.2001953125,4117.7001953125,4098.7998046875,4114.2998046875,6255.0
2025-11-19 05:00:00-05:00,4114.10009765625,4120.0,4109.7001953125,4111.5,3454.0
2025-11-19 05:15:00-05:00,4111.89990234375,4116.60009765625,4111.0,4112.5,1572.0
2025-11-19 05:30:00-05:00,4112.5,4115.39990234375,4110.60009765625,4113.10009765625,1693.0
2025-11-19 05:45:00-05:00,4113.2998046875,4114.2998046875,4107.5,4109.60009765625,1789.0
2025-11-19 06:00:00-05:00,4109.7001953125,4112.2001953125,4107.10009765625,4110.89990234375,1673.0
2025-11-19 06:15:00-05:00,4110.7998046875,4118.5,4110.60009765625,4115.0,2009.0
2025-11-19 06:30:00-05:00,4114.7998046875,4115.60009765625,4110.7998046875,4112.39990234375,1307.0
2025-11-19 06:45:00-05:00,4112.5,4118.0,4112.2001953125,4113.60009765625,1904.0
2025-11-19 07:00:00-05:00,4113.60009765625,4121.0,4113.5,4116.7998046875,1480.0
2025-11-19 07:15:00-05:00,4117.10009765625,4118.39990234375,4112.7001953125,4118.0,1543.0
2025-11-19 07:30:00-05:00,4118.0,4120.7001953125,4115.5,4118.10009765625,1143.0
2025-11-19 07:45:00-05:00,4117.7998046875,4120.2998046875,4112.7998046875,4115.10009765625,1489.0
2025-11-19 08:00:00-05:00,4115.0,4115.7998046875,4101.7001953125,4103.7001953125,3820.0
2025-11-19 08:15:00-05:00,4103.2998046875,4110.7998046875,4101.0,4110.2001953125,3581.0
